questions,answers,intent
고등학교에 올라오니 중학교 때보다 수업이 갑자기 어려워져서 당황스러워.,고등학교 수업이 중학교 때와는 다르게 갑자기 어려워서 당황스러우시군요.,0
오늘 선생님이 나보고 앞에 나와 문제를 풀어보라고 했는데 답을 외워서 문제를 풀었어.,답을 외워서 문제를 풀었군요.,0
공부를 해도 성적이 오르지 않아. ,공부를 했는데도 오르지 않는가요. ,0
시험을 잘 보지 못해서 부모님께 혼날까 봐 걱정했는데 오히려 다독여 주셔서 다행이야.,부모님께서 혼내기보다 오히려 위로를 해주셨군요. 정말 다행이에요.,0
요즘 너무 짜증 나.,무엇 때문에 짜증이 나시는지 여쭤볼 수 있을까요?,0
오늘 수학점수가 많이 올라서 엄마에게 보여드렸더니 칭찬을 받았어.,칭찬을 받으시다니 좋으시겠어요.,0
나는 내성적이라 친구 사귀는 게 어려워. 전학 가서 잘 적응할지 걱정이야.,전학 가서 친구 사귀는 게 걱정되시는군요.,0
요즘 내 진로에 대해서 고민이 많아. 명확한 꿈이 없어. 혼란스러워.,진로가 명확하지 않아서 혼란스러우셨겠네요. 혼란스러운 마음을 극복할 방법이 있을까요?,0
요즘 사람들도 만나기 싫고 모든게 다 우울해.,안 좋은 일 있으셨나요?,0
문과와 이과 중에서 내 적성에 맞는 게 무엇인지 모르겠고 혼란스러워.,적성에 맞는 게 무엇인지 몰라서 혼란스럽겠어요.,0
왜 열심히 공부하는데 성적이 안 오르는 거지? 진짜 짜증 나.,많이 화가 나셨나 봐요.,0
담임선생님에게 고민을 이야기하면 마음이 편해져.,담임선생님과 상담이 심적으로 도움이 되고 있군요.,0
엄마에게 급식비를 낸다고 거짓말로 돈을 받아서 썼어.,엄마에게 거짓말을 하셨군요.,0
진로에 대해 고민이 많았는데 진로를 결정했어.,어떤 결정을 내렸는지 말씀해 주실 수 있으세요?,0
친구한테 필기 노트를 빌렸는데 잃어버렸어. 어떡하지?,빌린 필기 노트를 잃어버리셨군요. 불안하시겠어요.,0
나는 왜 빨리 공부를 시작하지 않은 걸까. 공부하려는데 아무것도 모르겠어.,정말 속상하겠어요. 공부를 늦게 시작한 것 같아 막막한가요?,0
대학가는 것 이외에는 생각해본 적이 없어서 앞으로 어떻게 해야 할지 잘 모르겠어.,미래에 대해 생각해보지 않았다면 아마 많이 답답할 거예요.,0
나랑 말도 안 섞던 한 친구가 말을 걸어왔어. 뭔가 찜찜해.,친구 일 때문에 찜찜하시군요.,0
얼마 전에 시험에서 아깝게 한 개를 틀린줄 알았는데 알고 보니 맞췄대.,다행이네요! 하나만 틀려서 아쉬웠을 텐데 안심되겠어요.,0
선생님이 공부를 잘하는 친구들만 챙겨 주시고 나는 챙겨 주지 않아.,선생님의 그런 모습에 속이 상하셨군요.,0
나 학교에서 같이 급식을 먹을 친구가 없어.,학교에서 같이 급식먹을 친구가 없으시군요.,0
내가 좋아하는 일을 해야 할지 부모님이 원하는 일을 해야 할지 알 수 없어서 혼란스러워.,진로문제로 혼란스러우시군요. 조금 더 자세히 말해줄 수 있어요?,0
아무리 열심히 해도 되지 않는걸 보니 나는 머리가 나쁜가봐.,열심히 했는데 결과가 안 좋으신가 봐요. 많이 힘드시겠어요.,0
나 공부 열심히 했는데 성적이 잘 안 나와서 너무 슬퍼.,공부를 열심히 했는데 성적이 잘 안 나와서 슬프시군요.,0
이번 점수는 좋지 못했지만 계속 꾸준히 공부하면 성적은 오르게 돼 있어. 그래서 불안하지 않아.,마음이 힘들 수도 있었을 텐데 불안해하지 않아서 다행이에요.,0
요즘 학교 성적이랑 내 진로 때문에 속상해.,학교 성적과 진로 때문에 매우 속상하시군요. 어떻게 된 일인지 자세히 말씀해주시겠어요?,0
